name,length (minutes),path,class
Lesbian Going Wild On BART Train In Oakland.wav,2.6281118669690096,data/dangerous/Lesbian Going Wild On BART Train In Oakland.wav,1
Fight on Metro bus - Guy fight's the wrong person.wav,7.148069916855631,data/dangerous/Fight on Metro bus - Guy fight's the wrong person.wav,1
Crackhead Flips Out On Bus.wav,4.022277021919879,data/dangerous/Crackhead Flips Out On Bus.wav,1
Transit Plainclothes Officers messed With The Wrong Person.wav,4.3498715041572185,data/dangerous/Transit Plainclothes Officers messed With The Wrong Person.wav,1
F Train Drama! Only in New York City!.wav,8.344477702191988,data/dangerous/F Train Drama! Only in New York City!.wav,1
TTC Subway 108.wav,32.39280461073318,data/safe/TTC Subway 108.wav,0
Beef with the ＂BLOODS＂ in Brooklyn.wav,7.8522146636432355,data/dangerous/Beef with the ＂BLOODS＂ in Brooklyn.wav,1
Passenger with pitbul refused on MTA bus part 2 BX8 Bus.wav,2.7302796674225243,data/dangerous/Passenger with pitbul refused on MTA bus part 2 BX8 Bus.wav,1
TTC Subway 104.wav,8.777777777777777,data/safe/TTC Subway 104.wav,0
Wrong talking shit goes wrong chiraq.wav,4.967716175359032,data/dangerous/Wrong talking shit goes wrong chiraq.wav,1
The crazy stuff that happens on a metrobus in the Washington D.C. area.wav,5.2629965986394565,data/dangerous/The crazy stuff that happens on a metrobus in the Washington D.C. area.wav,1
TTC Subway 121.wav,9.946461451247165,data/safe/TTC Subway 121.wav,0
Hero Prevents Bus Rape And This Is The Thanks He Gets.wav,9.763797808012095,data/dangerous/Hero Prevents Bus Rape And This Is The Thanks He Gets.wav,1
Fight with birmingham  bus driver.wav,3.750603552532124,data/dangerous/Fight with birmingham  bus driver.wav,1
"Drunk man screams racial slurs on L train, gets doused in so.wav",2.5661919879062736,"data/dangerous/Drunk man screams racial slurs on L train, gets doused in so.wav",1
NYC SUBWAY FIGHT!.wav,4.323555555555556,data/dangerous/NYC SUBWAY FIGHT!.wav,1
Nice subway fight.wav,6.979918367346939,data/dangerous/Nice subway fight.wav,1
Unruly passenger escorted from plane I.wav,2.5321364323507183,data/dangerous/Unruly passenger escorted from plane I.wav,1
SUBWAY FIGHTS Drunken Chav GOES CRAZY on a train.wav,4.34832350718065,data/dangerous/SUBWAY FIGHTS Drunken Chav GOES CRAZY on a train.wav,1
New York MTA subway argument.wav,9.045914210128496,data/dangerous/New York MTA subway argument.wav,1
The Train Argument.wav,3.3254845049130766,data/dangerous/The Train Argument.wav,1
"Fight Between Bus Driver, Passenger as Bus Rolls and Hits Cars.wav",5.417602418745276,"data/dangerous/Fight Between Bus Driver, Passenger as Bus Rolls and Hits Cars.wav",1
SUBWAY FIGHTS YOU ARE AN EMBARRASSMENT FIGHT VIDEO ON SUBWAY TRAIN.wav,6.905614512471655,data/dangerous/SUBWAY FIGHTS YOU ARE AN EMBARRASSMENT FIGHT VIDEO ON SUBWAY TRAIN.wav,1
TTC Subway 113.wav,38.5112626606198,data/safe/TTC Subway 113.wav,0
Confrontation Between Passengers on Crowded Metro Train Ride in New York City.wav,5.76841761148904,data/dangerous/Confrontation Between Passengers on Crowded Metro Train Ride in New York City.wav,1
Never a dull moment in NYC!!.wav,3.3289678760393047,data/dangerous/Never a dull moment in NYC!!.wav,1
Keenan： TTC fight night.wav,7.406391534391534,data/dangerous/Keenan： TTC fight night.wav,1
Crazy bitch knocked out by man   NYC MTA subway fight knockout police cops  onepunch streetfight.wav,5.909091836734693,data/dangerous/Crazy bitch knocked out by man   NYC MTA subway fight knockout police cops  onepunch streetfight.wav,1
Pace bus fight 352.wav,10.4261470143613,data/dangerous/Pace bus fight 352.wav,1
Family members fighting on bus May 2nd 2015.wav,6.945475434618292,data/dangerous/Family members fighting on bus May 2nd 2015.wav,1
Just another ride home on nyc subway 6 train.wav,4.031758125472411,data/dangerous/Just another ride home on nyc subway 6 train.wav,1
Preacher⧸gangsta fight on chicago redline.wav,8.559262282690854,data/dangerous/Preacher⧸gangsta fight on chicago redline.wav,1
TTC Subway 116.wav,81.40887112622826,data/safe/TTC Subway 116.wav,0
Crazy Lady Throws Her Drink On Me In Front of Off-Duty Police Officer.wav,9.270566893424038,data/dangerous/Crazy Lady Throws Her Drink On Me In Front of Off-Duty Police Officer.wav,1
TTC Subway 112.wav,46.33919312169312,data/safe/TTC Subway 112.wav,0
fight on NYC SUBWAY.wav,4.190234693877551,data/dangerous/fight on NYC SUBWAY.wav,1
TTC Subway 99.wav,9.729741874527589,data/safe/TTC Subway 99.wav,0
Crazy lady attacks bum with soap & baby powder.wav,3.26162962962963,data/dangerous/Crazy lady attacks bum with soap & baby powder.wav,1
TTC Subway 27.wav,1.8132006802721088,data/safe/TTC Subway 27.wav,0
Man and women yelling at each other on NYC subway..wav,3.327806500377929,data/dangerous/Man and women yelling at each other on NYC subway..wav,1
"New Yorker sings ＂BillyJean＂ On 4 Train (HARLEM, NYC).wav",3.8668964474678758,"data/dangerous/New Yorker sings ＂BillyJean＂ On 4 Train (HARLEM, NYC).wav",1
Chicago's Ugly Racism On The Red Line.wav,3.379471277399849,data/dangerous/Chicago's Ugly Racism On The Red Line.wav,1
"I picked a fight with a Black guy in the subway, and everybody applauded!.wav",2.692934618291761,"data/dangerous/I picked a fight with a Black guy in the subway, and everybody applauded!.wav",1
Fight Breaks Out in NYC Subway Train Over a Seat.wav,3.6600457294028725,data/dangerous/Fight Breaks Out in NYC Subway Train Over a Seat.wav,1
Girlfight on A train in East NY.wav,2.6807441421012848,data/dangerous/Girlfight on A train in East NY.wav,1
Train fight on Mother's day.wav,2.9481606198034767,data/dangerous/Train fight on Mother's day.wav,1
TTC Subway 136.wav,8.25295275888133,data/safe/TTC Subway 136.wav,0
TTC Subway 114.wav,71.28410015117157,data/safe/TTC Subway 114.wav,0
Oldest fight in youtube Nj bus driver and passenger.wav,3.972354119425548,data/dangerous/Oldest fight in youtube Nj bus driver and passenger.wav,1
Fight on WMATA - ＂Eat me for breakfast＂ (Part 2).wav,3.0549720332577475,data/dangerous/Fight on WMATA - ＂Eat me for breakfast＂ (Part 2).wav,1
Septa bus fight (philly).wav,3.4669331065759637,data/dangerous/Septa bus fight (philly).wav,1
TTC Subway 111.wav,18.232695767195768,data/safe/TTC Subway 111.wav,0
white boy gets in fight (I can take pain boy!!!).wav,3.2469240362811793,data/dangerous/white boy gets in fight (I can take pain boy!!!).wav,1
Female On NYC Subway goen CRAZY.wav,0.5851428571428572,data/dangerous/Female On NYC Subway goen CRAZY.wav,1
CTA bus fight  Old skool vs new skool part 2.wav,4.662179894179895,data/dangerous/CTA bus fight  Old skool vs new skool part 2.wav,1
TTC Subway 141.wav,9.389569538926681,data/safe/TTC Subway 141.wav,0
Fight on A train 2013.wav,3.0425884353741495,data/dangerous/Fight on A train 2013.wav,1
"Funniest Bus Argument, Man Goes In On Woman For Going Off On Bus Driver.wav",2.7550479969765687,"data/dangerous/Funniest Bus Argument, Man Goes In On Woman For Going Off On Bus Driver.wav",1
TTC Subway 107.wav,22.28283635676493,data/safe/TTC Subway 107.wav,0
"Fight on the M35 bus, New York..wav",4.054010959939531,"data/dangerous/Fight on the M35 bus, New York..wav",1
Fight on  A-Train (Brooklyn NYC) Ratchet Chick vs Street Poet.wav,5.040355631141346,data/dangerous/Fight on  A-Train (Brooklyn NYC) Ratchet Chick vs Street Poet.wav,1
Pregnant girl with Abusive Babyfather 5 Train.wav,12.63784731670446,data/dangerous/Pregnant girl with Abusive Babyfather 5 Train.wav,1
Argument Ends With Dude Getting Jumped For Getting Too Smart (WSHH).wav,3.3428994708994706,data/dangerous/Argument Ends With Dude Getting Jumped For Getting Too Smart (WSHH).wav,1
bus driver and passenger fight!!!.wav,6.319697656840514,data/dangerous/bus driver and passenger fight!!!.wav,1
Emotions erupt over LGBTQ+ ideas on NYC subway.wav,11.864042705971277,data/dangerous/Emotions erupt over LGBTQ+ ideas on NYC subway.wav,1
Fight starts after man ＂stole＂ bum's bag on NYC train.wav,6.028481103552532,data/dangerous/Fight starts after man ＂stole＂ bum's bag on NYC train.wav,1
TTC Subway 118.wav,13.792266439909296,data/safe/TTC Subway 118.wav,0
TTC Subway 135.wav,9.903504535147393,data/safe/TTC Subway 135.wav,0
DC Circulator Rage.wav,2.4841485260770977,data/dangerous/DC Circulator Rage.wav,1
TTC Subway 117.wav,14.394534013605442,data/safe/TTC Subway 117.wav,0
TTC Subway 109.wav,32.36956311413454,data/safe/TTC Subway 109.wav,0
UNK WILDIN ON THE 70 BUS!!! DAILY LIFE IN UPT DC.wav,6.646325018896447,data/dangerous/UNK WILDIN ON THE 70 BUS!!! DAILY LIFE IN UPT DC.wav,1
crazy lady attacks! nyc subway.wav,2.9899561602418747,data/dangerous/crazy lady attacks! nyc subway.wav,1
Manhattan Subway Brawl.wav,2.5449074074074076,data/dangerous/Manhattan Subway Brawl.wav,1
BROOKLYN  NYPD TRAIN BRAWL !.wav,7.149037414965987,data/dangerous/BROOKLYN  NYPD TRAIN BRAWL !.wav,1
TTC Subway 122.wav,9.691815948601663,data/safe/TTC Subway 122.wav,0
Only in New York： Drunk Rachet Girl on 2 Train to Brooklyn Speaks her Mind to an Off-Duty Cop!.wav,3.36128231292517,data/dangerous/Only in New York： Drunk Rachet Girl on 2 Train to Brooklyn Speaks her Mind to an Off-Duty Cop!.wav,1
